tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
,,,,,34.4,,,,,,,Brca15382insC/+,1/18/17,20220,Brca15382insC/+,5/22/16,9.34,2.91,5.89,0.52,,9.35,14.9,47,50.3,15.9,31.7,20.7,1648,5,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,34.4,,,,,,,WT (pure),1/18/17,20221,WT,5/22/16,5.76,2.27,3.23,0.25,,9.52,14.6,44.4,46.6,15.3,32.9,21,1691,4.7,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21497 >12 - 24,21497 >12 - 24-1,21497 >12 - 24-1,21497 >12 - 24-1,yes,13,Male,1,1,,,21497 >12 - 24-1,Vav-cre; Cbpf/f (mixed) >12 - 24,1/19/17,21497,Vav-cre; Cbpf/f,10/20/16,11.5,1.81,8.29,1.26,,0.93,1.7,5.5,59.1,18.3,30.9,42.9,265,6.7,terminal bleed,#N/A,#N/A,,terminal bleed,42754,,
21598 >8 - 12,21598 >8 - 12-2,,,yes,10.2,Female,2,3,,,,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/19/17,21598,Vav-cre; Brca1f/f; Cbpf/+,11/8/16,88.06,54.54,13.04,3.15,,1.54,5.8,11.8,76.5,37.7,49.2,40.8,517,5.5,terminal bleed (sample from body cavity),#N/A,#N/A,173,terminal bleed (sample from body cavity),42754,,
21598 >8 - 12,21598 >8 - 12-3,21598 >8 - 12-3,,yes,10.2,Female,3,3,,,,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/19/17,21598,Vav-cre; Brca1f/f; Cbpf/+,11/8/16,55.88,35.9,8.11,2.08,,1.36,4,10.4,76.4,29.4,38.5,39.8,382,5.5,terminal bleed (sample+EDTA),#N/A,#N/A,174,terminal bleed (sample+EDTA),42754,,
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
21836 -4-8,21836 -4-8-1,,21836 -4-8-1,yes,5.2,Female,1,2,,,21836 -4-8-1,Vav-cre; Brca1f/f; Cbpf/ffake -4-8,1/20/17,21836,Vav-cre; Brca1f/f; Cbpf/ffake,12/14/16,15.06,2.48,12.22,0.34,,9.93,16.5,55.4,55.8,16.6,29.8,19.7,739,4.4,Vav dKO + ctrls,#N/A,#N/A,175,Vav dKO + ctrls,42755,,21836
21787 -4-8,21787 -4-8-1,21787 -4-8-1,21787 -4-8-1,yes,6.4,Female,1,1,48,1,21787 -4-8-1,WT (mixed) -4-8,1/20/17,21787,Brca1f/+; Cbpf/f,12/6/16,12.28,1.92,9.84,0.49,,9.55,15.8,47.1,49.3,16.5,33.5,20,868,4.6,Vav dKO + ctrls,#N/A,#N/A,,Vav dKO + ctrls,42755,,21787
21788 -4-8,21788 -4-8-1,21788 -4-8-1,21788 -4-8-1,yes,6.4,Female,1,1,49,1,21788 -4-8-1,WT (mixed) -4-8,1/20/17,21788,Brca1f/+; Cbpf/+,12/6/16,11.44,1.15,9.8,0.48,,10.53,16.2,49.2,46.7,15.4,32.9,18.1,849,4.6,Vav dKO + ctrls,#N/A,#N/A,,Vav dKO + ctrls,42755,,21788
21789 -4-8,21789 -4-8-1,21789 -4-8-1,21789 -4-8-1,yes,6.4,Female,1,1,,,21789 -4-8-1,Vav-cre; Brca1f/+; Cbpf/f -4-8,1/20/17,21789,Vav-cre; Brca1f/+; Cbpf/f,12/6/16,8.78,3.72,3.65,1.25,,8.45,10.9,35,41.4,12.9,31.1,25.5,1158,6.6,Vav dKO + ctrls,#N/A,#N/A,,Vav dKO + ctrls,42755,,21789
21794 -4-8,21794 -4-8-1,21794 -4-8-1,21794 -4-8-1,yes,6.5,Female,1,1,,,21794 -4-8-1,Vav-cre; Brca1f/+; Cbpf/+ -4-8,1/20/17,21794,Vav-cre; Brca1f/+; Cbpf/+,12/5/16,11.7,2.03,8.93,0.73,,8.48,13.9,50.9,60,16.4,27.3,22.8,838,4.6,Vav dKO + ctrls,#N/A,#N/A,,Vav dKO + ctrls,42755,,21794
21737 >8 - 12,21737 >8 - 12-1,,21737 >8 - 12-1,yes,8,Female,1,2,,,21737 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/24/17,21737,Vav-cre; Brca1f/f; Cbpf/+,11/29/16,0.88,0.04,0.77,0.07,,6.53,11.8,40.7,62.4,18.1,29,22.3,238,6.4,ctrl for dKO,#N/A,#N/A,176,ctrl for dKO,42759,,
21416 >12 - 24,21416 >12 - 24-1,21416 >12 - 24-1,21416 >12 - 24-1,yes,14.1,Female,1,1,,,21416 >12 - 24-1,Brca15382insC/+ >12 - 24,1/23/17,21416,Brca15382insC/+,10/16/16,4.32,1.61,2.47,0.08,,9.57,14.8,49.5,51.7,15.5,29.9,18.7,331,6.4,LPS Tx - post treatment,#N/A,#N/A,177,LPS Tx - post treatment,42758,,
21417 >12 - 24,21417 >12 - 24-1,21417 >12 - 24-1,21417 >12 - 24-1,yes,14.1,Female,1,1,,,21417 >12 - 24-1,Brca15382insC/+ >12 - 24,1/23/17,21417,Brca15382insC/+,10/16/16,5.42,2.11,3.04,0.17,,9.96,14.8,44.2,44.4,14.9,33.5,19,696,5.7,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21420 >12 - 24,21420 >12 - 24-1,21420 >12 - 24-1,21420 >12 - 24-1,yes,14.1,Female,1,1,,,21420 >12 - 24-1,Brca15382insC/+ >12 - 24,1/23/17,21420,Brca15382insC/+,10/16/16,4.64,1.66,2.74,0.12,,8.38,12.6,40.6,48.5,15,31,20,374,6.5,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21559 >8 - 12,21559 >8 - 12-1,21559 >8 - 12-1,21559 >8 - 12-1,yes,11.5,Female,1,1,,,21559 >8 - 12-1,WT (pure) >8 - 12,1/23/17,21559,WT (non tx),11/3/16,6.92,1.13,5.45,0.19,,6.7,10.6,32.7,48.8,15.8,32.4,18.5,262,5.2,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,21559
21560 >8 - 12,21560 >8 - 12-1,21560 >8 - 12-1,21560 >8 - 12-1,yes,11.5,Female,1,1,,,21560 >8 - 12-1,Brca15382insC/+ >8 - 12,1/23/17,21560,Brca15382insC/+ (non tx),11/3/16,10.1,2.03,7.44,0.26,,8.55,14.1,44.6,52.2,16.5,31.6,18.4,562,5.3,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,21560
21418 >12 - 24,21418 >12 - 24-1,21418 >12 - 24-1,21418 >12 - 24-1,yes,14.1,Female,1,1,,,21418 >12 - 24-1,WT (pure) >12 - 24,1/23/17,21418,WT,10/16/16,3.64,1.72,1.66,0.13,,9.25,13.6,38.6,41.7,14.7,35.2,17.8,245,6.4,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21419 >12 - 24,21419 >12 - 24-1,21419 >12 - 24-1,21419 >12 - 24-1,yes,14.1,Female,1,1,,,21419 >12 - 24-1,WT (pure) >12 - 24,1/23/17,21419,WT,10/16/16,2.68,0.7,1.85,0.05,,7.82,11.4,33.9,43.3,14.6,33.6,18,279,6.7,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21421 >12 - 24,21421 >12 - 24-1,21421 >12 - 24-1,21421 >12 - 24-1,yes,14.1,Female,1,1,,,21421 >12 - 24-1,WT (pure) >12 - 24,1/23/17,21421,WT,10/16/16,1.1,0.28,0.8,0.01,,5.22,7.5,22.5,43.1,14.4,33.3,17.2,186,7.2,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21477 >12 - 24,21477 >12 - 24-1,21477 >12 - 24-1,21477 >12 - 24-1,yes,13.7,Female,1,1,,,21477 >12 - 24-1,vav-cre; brca1f/+ (pure) >12 - 24,1/23/17,21477,Vav-cre; Brca1f/+,10/19/16,4.64,1.85,2.53,0.18,,8.47,13.1,37.8,44.6,15.5,34.7,20.3,409,5.9,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21478 >12 - 24,21478 >12 - 24-1,21478 >12 - 24-1,21478 >12 - 24-1,yes,13.7,Female,1,1,,,21478 >12 - 24-1,vav-cre; brca1f/+ (pure) >12 - 24,1/23/17,21478,Vav-cre; Brca1f/+,10/19/16,2.28,1.37,0.75,0.08,,10.61,16.7,48,45.2,15.7,34.8,17.8,369,6.4,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
21379 >12 - 24,21379 >12 - 24-1,21379 >12 - 24-1,21379 >12 - 24-1,yes,15.2,Female,1,1,,,21379 >12 - 24-1,vav-cre; brca1f/+ (pure) >12 - 24,1/23/17,21379,Vav-cre; Brca1f/+,10/8/16,3.58,1.95,1.34,0.08,,10.14,15.2,51.3,50.6,15,29.6,19.9,370,6.8,LPS Tx - post treatment,#N/A,#N/A,,LPS Tx - post treatment,42758,,
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
21192 >12 - 24,21192 >12 - 24-1,21192 >12 - 24-1,21192 >12 - 24-1,yes,19.7,Female,1,1,,,21192 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21192,Vav-cre; Brca1f/+; p53+/-,9/8/16,7.92,1.9,5.7,0.29,,8.73,13.8,45.5,52.1,15.8,30.3,18.9,960,5.7,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,178,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,
,,,,,24.8,,,,,,,vav-cre; brca1f/+; p53+/-,1/24/17,20930,Vav-cre; Brca1f/+; p53+/-,8/3/16,8.96,2.45,6.24,0.25,,9.54,15.2,46.1,48.3,15.9,33,20,1301,4.8,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,
21628 >8 - 12,21628 >8 - 12-1,21628 >8 - 12-1,21628 >8 - 12-1,yes,10.2,Male,1,1,50,1,21628 >8 - 12-1,Vav-cre; Brca1f/f; p53+/- >8 - 12,1/24/17,21628,Vav-cre; Brca1f/f; p53+/-,11/13/16,53.54,7.19,42.36,3.49,,2.8,5.8,14.9,53.3,20.7,38.9,21.4,457,5.7,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21628
21627 >8 - 12,21627 >8 - 12-1,21627 >8 - 12-1,21627 >8 - 12-1,yes,10.2,Male,1,1,,,21627 >8 - 12-1,p53-/- (mixed) >8 - 12,1/24/17,21627,Brca1f/f; p53-/-,11/13/16,11.64,2.59,8.54,0.51,,10.68,17.3,49,45.9,16.2,35.3,18.8,960,4,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21627
21196 >12 - 24,21196 >12 - 24-1,21196 >12 - 24-1,21196 >12 - 24-1,yes,19.7,Male,1,1,,,21196 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21196,Vav-cre; Brca1f/+; p53+/-,9/8/16,12.74,4.19,8.04,0.48,,9.66,15.1,43.4,44.9,15.6,34.8,18.3,1337,4.2,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,
21195 >12 - 24,21195 >12 - 24-1,21195 >12 - 24-1,21195 >12 - 24-1,yes,19.7,Male,1,1,,,21195 >12 - 24-1,p53+/- (mixed) >12 - 24,1/24/17,21195,Brca1f/f; p53+/-,9/8/16,9.7,1.79,7.51,0.31,,6.94,11,32.6,47,15.9,33.7,18.8,619,4.6,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,
21621 >8 - 12,21621 >8 - 12-1,21621 >8 - 12-1,21621 >8 - 12-1,yes,10.2,Female,1,1,,,21621 >8 - 12-1,vav-cre; brca1f/+; p53+/- >8 - 12,1/24/17,21621,Vav-cre; Brca1f/+; p53+/-,11/13/16,12.54,3.23,8.57,0.73,,10.47,17,49,46.8,16.2,34.7,19.7,1071,4.1,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21621
21303 >12 - 24,21303 >12 - 24-1,,21303 >12 - 24-1,yes,17.1,Male,1,2,,,21303 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21303,Vav-cre; Brca1f/+; p53+/-,9/26/16,6.74,1.2,5.29,0.24,,7.42,11.8,35.7,48.1,15.9,33.1,18.4,1099,4.4,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,
21301 >12 - 24,21301 >12 - 24-1,,21301 >12 - 24-1,yes,17.1,Male,1,2,,,21301 >12 - 24-1,p53+/- (mixed) >12 - 24,1/24/17,21301,Brca1f/+; p53+/-,9/26/16,9.44,2.77,6.16,0.49,,9.24,15.9,46.8,50.7,17.2,34,19.4,1105,4,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,
21631 >8 - 12,21631 >8 - 12-1,21631 >8 - 12-1,21631 >8 - 12-1,yes,10.7,Female,1,1,,,21631 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,1/24/17,21631,Vav-cre; Brca1f/+,11/10/16,13.32,2.49,10.29,0.53,,10.02,16.1,45.1,45,16.1,35.7,18.7,833,3.8,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21631
21630 >8 - 12,21630 >8 - 12-1,21630 >8 - 12-1,21630 >8 - 12-1,yes,10.7,Female,1,1,,,21630 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,1/24/17,21630,Vav-cre; Brca1f/f,11/10/16,2,0.91,0.82,0.16,,6.34,13,41.3,65.1,20.5,31.5,21,556,4.7,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21630
21632 >8 - 12,21632 >8 - 12-1,21632 >8 - 12-1,21632 >8 - 12-1,yes,10.7,Female,1,1,51,1,21632 >8 - 12-1,Vav-cre; Brca1f/f; p53+/- >8 - 12,1/24/17,21632,Vav-cre; Brca1f/f; p53+/-,11/10/16,8.7,2.4,5.55,0.73,,9.51,16.4,46.8,49.2,17.2,35,17.2,953,4,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21632
21394 >12 - 24,21394 >12 - 24-1,,21394 >12 - 24-1,yes,15.7,Female,1,2,,,21394 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21394,Vav-cre; Brca1f/+; p53+/-,10/6/16,8.18,2.72,5.12,0.32,,8.63,14.2,40,46.3,16.5,35.5,19,1288,4.1,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21394
21393 >12 - 24,21393 >12 - 24-1,,21393 >12 - 24-1,yes,15.7,Female,1,2,,,21393 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21393,Vav-cre; Brca1f/+; p53+/-,10/6/16,2.32,0.26,1.86,0.17,,2.1,3,9.2,43.7,14.3,32.6,16.1,219,5.3,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21393
21619 >8 - 12,21619 >8 - 12-1,21619 >8 - 12-1,21619 >8 - 12-1,yes,10.2,Female,1,1,52,1,21619 >8 - 12-1,Vav-cre; Brca1f/f; p53+/- >8 - 12,1/24/17,21619,Vav-cre; Brca1f/f; p53+/-,11/13/16,1.22,0.12,1,0.1,,2.39,3.9,12.7,53.2,16.3,30.7,18.9,194,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21619
21452 >12 - 24,21452 >12 - 24-1,,21452 >12 - 24-1,yes,14.4,Male,1,2,,,21452 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21452,Vav-cre; Brca1f/+; p53+/-,10/15/16,6.34,0.57,5.46,0.32,,4.04,6.1,18.7,46.4,15.1,32.6,18.3,525,4.3,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21452
21453 >12 - 24,21453 >12 - 24-1,,21453 >12 - 24-1,yes,14.4,Male,1,2,,,21453 >12 - 24-1,p53+/- (mixed) >12 - 24,1/24/17,21453,Brca1f/f; p53+/-,10/15/16,20.72,5.01,15.02,0.63,,10.3,15.9,44.5,43.2,15.4,35.7,19.5,803,4.3,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21453
21634 >8 - 12,21634 >8 - 12-1,21634 >8 - 12-1,21634 >8 - 12-1,yes,10.7,Female,1,1,53,1,21634 >8 - 12-1,Vav-cre; Brca1f/f; p53+/- >8 - 12,1/24/17,21634,Vav-cre; Brca1f/f; p53+/-,11/10/16,3.92,0.94,2.87,0.1,,6.86,13.3,41.6,60.7,19.4,32,22.2,817,4.3,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21634
21499 >12 - 24,21499 >12 - 24-1,,21499 >12 - 24-1,yes,12.2,Male,1,2,,,21499 >12 - 24-1,p53+/- (mixed) >12 - 24,1/24/17,21499,Brca1f/f; p53+/-,10/30/16,10.5,2.38,7.33,0.78,,10.61,17.3,48.6,45.8,16.3,35.6,17.9,1117,4.1,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21499
21500 >12 - 24,21500 >12 - 24-1,,21500 >12 - 24-1,yes,12.2,Male,1,2,,,21500 >12 - 24-1,vav-cre; brca1f/+; p53+/- >12 - 24,1/24/17,21500,Vav-cre; Brca1f/+; p53+/-,10/30/16,7.1,1.6,5.14,0.33,,8.91,14.6,41.6,46.7,16.4,35.1,17.6,683,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42759,,21500
21667 >8 - 12,21667 >8 - 12-1,21667 >8 - 12-1,21667 >8 - 12-1,yes,10,Female,1,1,,,21667 >8 - 12-1,WT (pure) >8 - 12,1/26/17,21667,Brca1f/f,11/17/16,12.54,3.03,8.87,0.58,,9.15,15.2,44.7,48.8,16.6,34,18.1,912,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21667
21668 >8 - 12,21668 >8 - 12-1,21668 >8 - 12-1,21668 >8 - 12-1,yes,10,Female,1,1,,,21668 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,1/26/17,21668,Vav-cre; Brca1f/+,11/17/16,11.94,2.84,8.32,0.5,,9.34,15.1,46.8,50.1,16.2,32.3,18.4,701,5.2,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21668
21669 >8 - 12,21669 >8 - 12-1,21669 >8 - 12-1,21669 >8 - 12-1,yes,10,Female,1,1,,,21669 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,1/26/17,21669,Vav-cre; Brca1f/+,11/17/16,7.54,1.6,5.58,0.33,,9.77,14.3,44,45,14.6,32.5,19.8,1007,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21669
21817 -4-8,21817 -4-8-1,21817 -4-8-1,21817 -4-8-1,yes,7.1,Female,1,1,54,1,21817 -4-8-1,Vav-cre; Brca1f/f; p53+/- -4-8,1/26/17,21817,Vav-cre; Brca1f/f; p53+/-,12/7/16,3.56,0.66,2.71,0.16,,6.66,12.5,37.5,56.3,18.8,33.3,21.9,447,4.8,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21817
21815 -4-8,21815 -4-8-1,21815 -4-8-1,21815 -4-8-1,yes,7.1,Female,1,1,,,21815 -4-8-1,vav-cre; brca1f/+; p53+/- -4-8,1/26/17,21815,Vav-cre; Brca1f/+; p53+/-,12/7/16,8.34,1.81,6.14,0.38,,10.1,16.7,53.2,52.7,16.5,31.4,19.4,913,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21815
21822 -4-8,21822 -4-8-1,21822 -4-8-1,21822 -4-8-1,yes,7.1,Male,1,1,55,1,21822 -4-8-1,Vav-cre; Brca1f/f; p53+/- -4-8,1/26/17,21822,Vav-cre; Brca1f/f; p53+/-,12/7/16,2.8,0.44,2.18,0.17,,7.28,13.1,40.2,55.2,18,32.6,19.1,510,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21822
21752 >8 - 12,21752 >8 - 12-1,21752 >8 - 12-1,21752 >8 - 12-1,yes,9,Male,1,1,,,21752 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,1/26/17,21752,Vav-cre; Brca1f/+,11/24/16,13.24,2.87,9.68,0.59,,10.34,16.6,50,48.4,16.1,33.2,16.9,890,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21752
21749 >8 - 12,21749 >8 - 12-1,21749 >8 - 12-1,21749 >8 - 12-1,yes,9,Male,1,1,,,21749 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,1/26/17,21749,Vav-cre; Brca1f/+,11/24/16,9.9,2.27,6.77,0.51,,9.47,15.2,46.1,48.7,16.1,33,16.9,571,5.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21749
21745 >8 - 12,21745 >8 - 12-1,21745 >8 - 12-1,21745 >8 - 12-1,yes,9,Female,1,1,,,21745 >8 - 12-1,vav-cre; brca1f/+ (pure) >8 - 12,1/26/17,21745,Vav-cre; Brca1f/+,11/24/16,10.2,2.6,7.13,0.44,,10.38,16.6,49.9,48.1,16,33.3,17.4,880,4.5,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21745
21746 >8 - 12,21746 >8 - 12-1,21746 >8 - 12-1,21746 >8 - 12-1,yes,9,Female,1,1,,,21746 >8 - 12-1,WT (pure) >8 - 12,1/26/17,21746,WT,11/24/16,9.76,2.03,7.27,0.43,,9.81,15.8,47.8,48.7,16.1,33.1,16.4,810,4.4,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21746
21680 >8 - 12,21680 >8 - 12-1,21680 >8 - 12-1,21680 >8 - 12-1,yes,9.5,Female,1,1,56,1,21680 >8 - 12-1,Vav-cre; Brca1f/f; p53+/- >8 - 12,1/26/17,21680,Vav-cre; Brca1f/f; p53+/-,11/20/16,6.64,1.68,4.53,0.4,,8.14,13.7,42.5,52.2,16.8,32.2,18.4,614,4.7,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21680
21676 >8 - 12,21676 >8 - 12-1,21676 >8 - 12-1,21676 >8 - 12-1,yes,9.5,Female,1,1,,,21676 >8 - 12-1,vav-cre; brca1f/+; p53+/- >8 - 12,1/26/17,21676,Vav-cre; Brca1f/+; p53+/-,11/20/16,15.18,3.42,10.86,0.87,,9.87,15.9,49.3,50,16.1,32.3,16.9,742,4.3,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1 pure and Vav; Brca1; p53 colony NON-Tx bleeds,42761,,21676
